"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"LIFEINSU","2024-09-22","12601.07","12893.55","12488.72","12554.92","0.25 %","314,423,345.00","-"
"LIFEINSU","2024-09-18","12661.96","12725.19","12410.69","12524.17","-0.32 %","341,594,158.70","-"
"LIFEINSU","2024-09-16","12878.16","12922.68","12512.35","12563.83","-1.91 %","561,752,939.00","-"
"LIFEINSU","2024-09-15","13249.47","13348.37","12790.48","12808.79","-2.74 %","518,031,971.00","-"
"LIFEINSU","2024-09-12","12753.37","13197.16","12687.04","13169.99","3.47 %","408,263,853.90","-"
"LIFEINSU","2024-09-11","12964.9","13091.81","12716.04","12728.72","-1.85 %","333,944,200.50","-"
"LIFEINSU","2024-09-10","13096.82","13287.14","12910.13","12969.09","-0.77 %","386,795,690.70","-"
"LIFEINSU","2024-09-09","13419.52","13420.83","13028.89","13069.27","-2.49 %","566,632,873.10","-"
"LIFEINSU","2024-09-08","13596.62","13669.15","13362.79","13403.17","-1.42 %","414,854,927.70","-"
"LIFEINSU","2024-09-05","13716.12","13778.45","13435.27","13596.61","-0.75 %","500,118,020.60","-"
"LIFEINSU","2024-09-04","14400.11","14403.39","13655.9","13698.88","-3.72 %","951,080,941.30","-"
"LIFEINSU","2024-09-03","13963.45","14363.8","13934.72","14227.58","2.25 %","1,181,376,856.00","-"
"LIFEINSU","2024-09-02","13342.99","13914.48","13238.52","13914.48","4.70 %","826,561,685.90","-"
"LIFEINSU","2024-09-01","13442.8","13649.39","13242.92","13290.21","-1.45 %","762,259,939.90","-"
"LIFEINSU","2024-08-29","13774","13884.83","13384.53","13486.03","-2.10 %","883,794,244.00","-"
"LIFEINSU","2024-08-28","13875.74","14204.1","13677.32","13774.84","-0.44 %","950,211,271.90","-"
"LIFEINSU","2024-08-27","14338.84","14359.6","13772.49","13836.13","-3.65 %","1,344,981,825.60","-"
"LIFEINSU","2024-08-25","14810.68","14883.62","14316.63","14360.64","-2.51 %","1,171,335,186.90","-"
"LIFEINSU","2024-08-22","14748.38","14874.78","14623.94","14730.05","0.29 %","1,069,748,823.90","-"
"LIFEINSU","2024-08-21","14806.39","15020.29","14658.21","14687.82","-0.19 %","1,104,753,398.40","-"
"LIFEINSU","2024-08-18","14809.11","14986.42","14633.49","14716.25","0.01 %","1,947,854,482.00","-"
"LIFEINSU","2024-08-15","14869.62","14920.92","14654.43","14714.58","-0.73 %","1,655,961,285.88","-"
"LIFEINSU","2024-08-14","14989.98","14990.15","14537.77","14822.93","-0.11 %","1,344,309,295.50","-"
"LIFEINSU","2024-08-13","14982.69","15197.06","14709.14","14838.88","0.54 %","1,786,676,853.10","-"
"LIFEINSU","2024-08-12","14016.46","14840.34","14016.46","14759.15","5.85 %","2,390,151,008.90","-"
"LIFEINSU","2024-08-11","13323.14","13948.53","13323.13","13943.33","4.82 %","1,584,126,614.00","-"
"LIFEINSU","2024-08-08","13459.52","13695.75","13260.95","13338.29","-0.30 %","1,110,807,829.70","-"
"LIFEINSU","2024-08-07","12890.72","13378.6","12735.41","13378.6","3.97 %","1,120,709,834.30","-"
"LIFEINSU","2024-08-06","13761.25","13847.04","12829.61","12867.61","-6.33 %","1,599,118,118.80","-"
"LIFEINSU","2024-08-05","13353.68","13778.52","13319.37","13737.76","3.23 %","1,436,947,262.90","-"
"LIFEINSU","2024-08-01","12865.21","13657.67","12781.75","13307.47","3.70 %","1,814,634,382.42","-"
"LIFEINSU","2024-07-31","12632.67","12970.54","12595","12832.74","2.11 %","1,125,461,294.80","-"
"LIFEINSU","2024-07-30","12494.81","12666.75","12244.39","12568.03","0.58 %","804,293,307.30","-"
"LIFEINSU","2024-07-29","12885.63","12900.84","12480.45","12495.31","-1.98 %","1,003,734,903.90","-"
"LIFEINSU","2024-07-28","12382.38","12845.77","12292.87","12747.44","4.23 %","930,733,356.10","-"
"LIFEINSU","2024-07-25","12151.05","12305.71","11981.68","12229.54","0.80 %","869,652,679.30","-"
"LIFEINSU","2024-07-24","12195.02","12439.44","11938.51","12132.21","-0.31 %","1,052,742,228.10","-"
"LIFEINSU","2024-07-23","11639.75","12191.45","11579.49","12170.34","4.45 %","911,401,343.30","-"
