"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"INVESTMENT","2024-07-29","98.42","99.29","96.76","96.96","-0.59 %","1,238,507,016.50","-"
"INVESTMENT","2024-07-28","93.97","97.63","93.42","97.54","5.80 %","1,206,843,908.20","-"
"INVESTMENT","2024-07-25","93.06","93.64","91.74","92.19","-0.74 %","663,475,060.10","-"
"INVESTMENT","2024-07-24","95.07","96.15","92.24","92.88","-0.83 %","858,435,657.70","-"
"INVESTMENT","2024-07-23","90.74","93.85","89.85","93.66","3.87 %","646,446,086.80","-"
"INVESTMENT","2024-07-22","90.46","91.76","89.17","90.17","-0.46 %","787,592,100.40","-"
"INVESTMENT","2024-07-21","88.27","91.06","87.56","90.59","2.67 %","866,574,785.60","-"
"INVESTMENT","2024-07-18","87.45","89.72","86.89","88.23","0.89 %","786,390,617.40","-"
"INVESTMENT","2024-07-17","86.57","87.69","85.95","87.45","1.53 %","730,523,398.30","-"
"INVESTMENT","2024-07-16","83.7","86.25","83.55","86.13","3.04 %","570,609,859.90","-"
"INVESTMENT","2024-07-15","82.59","84.32","82.39","83.59","1.70 %","719,112,193.60","-"
"INVESTMENT","2024-07-14","82.64","85.06","81.97","82.19","1.29 %","574,087,410.10","-"
"INVESTMENT","2024-07-11","81.26","81.44","80.69","81.14","0.52 %","445,319,173.50","-"
"INVESTMENT","2024-07-10","80.73","81.21","80.18","80.72","0.65 %","440,836,827.30","-"
"INVESTMENT","2024-07-09","79.92","80.34","79.68","80.2","0.36 %","439,782,963.70","-"
"INVESTMENT","2024-07-08","80.4","80.92","79.7","79.91","-0.40 %","554,354,874.50","-"
"INVESTMENT","2024-07-07","78.66","80.71","78.66","80.23","1.95 %","615,105,086.50","-"
"INVESTMENT","2024-07-04","77.93","78.79","77.47","78.69","1.90 %","560,384,428.40","-"
"INVESTMENT","2024-07-03","77.09","77.41","76.49","77.22","0.18 %","217,369,746.10","-"
"INVESTMENT","2024-07-02","76.69","80.57","76.06","77.08","2.31 %","315,663,871.30","-"
"INVESTMENT","2024-07-01","75.52","75.81","75.05","75.34","0.11 %","257,627,027.90","-"
"INVESTMENT","2024-06-30","75.98","76.3","75.18","75.26","-0.66 %","234,323,075.30","-"
"INVESTMENT","2024-06-27","75.87","76.08","75.52","75.76","-0.21 %","214,919,569.20","-"
"INVESTMENT","2024-06-26","76.58","76.9","75.79","75.92","-0.91 %","333,229,017.60","-"
"INVESTMENT","2024-06-25","75.46","77.14","75.45","76.62","1.70 %","310,632,803.80","-"
"INVESTMENT","2024-06-24","75.48","76.14","75.17","75.34","-0.25 %","392,658,457.40","-"
"INVESTMENT","2024-06-23","75.95","76.31","75.37","75.53","-0.62 %","215,512,276.80","-"
"INVESTMENT","2024-06-20","76.57","76.63","75.82","76","-0.16 %","332,347,936.70","-"
"INVESTMENT","2024-06-19","76.21","76.68","76.04","76.12","-0.18 %","219,130,275.60","-"
"INVESTMENT","2024-06-18","76.89","77.09","76.11","76.26","-0.82 %","306,595,164.90","-"
"INVESTMENT","2024-06-16","78.2","78.19","76.57","76.89","-0.83 %","446,669,680.20","-"
"INVESTMENT","2024-06-13","77.98","78.1","77.47","77.53","-0.64 %","459,289,944.50","-"
"INVESTMENT","2024-06-12","77.85","78.55","77.79","78.03","0.12 %","613,756,129.00","-"
"INVESTMENT","2024-06-11","77.57","77.95","77.14","77.94","1.09 %","565,944,920.40","-"
"INVESTMENT","2024-06-10","77.29","77.67","76.6","77.1","0.16 %","700,867,307.50","-"
"INVESTMENT","2024-06-09","77.35","77.36","76.76","76.98","0.43 %","716,791,166.90","-"
"INVESTMENT","2024-06-06","76.39","76.97","76.14","76.65","0.49 %","494,490,480.00","-"
"INVESTMENT","2024-06-05","76.22","76.63","75.85","76.28","0.01 %","475,226,541.50","-"
"INVESTMENT","2024-06-04","76.41","76.55","75.72","76.27","0.70 %","428,049,864.70","-"
"INVESTMENT","2024-06-03","76.04","76.33","75.56","75.74","-0.17 %","326,547,908.40","-"
"INVESTMENT","2024-06-02","76.24","76.66","75.51","75.87","-0.22 %","298,898,111.10","-"
"INVESTMENT","2024-05-30","76.64","77.24","75.86","76.04","-1.17 %","314,730,886.50","-"
"INVESTMENT","2024-05-29","77.81","78.7","76.74","76.94","-0.84 %","477,076,859.90","-"
"INVESTMENT","2024-05-27","76.17","77.87","75.88","77.59","1.81 %","551,919,436.40","-"
"INVESTMENT","2024-05-26","77.31","77.68","76.18","76.21","-1.41 %","290,643,142.00","-"
"INVESTMENT","2024-05-22","77.46","77.88","76.94","77.3","-0.19 %","306,749,951.20","-"
"INVESTMENT","2024-05-21","76.84","77.97","76.16","77.45","0.91 %","326,799,903.40","-"
"INVESTMENT","2024-05-20","75.36","77.27","75.05","76.75","1.84 %","379,307,762.10","-"
"INVESTMENT","2024-05-19","74.77","75.87","74.36","75.36","1.30 %","292,567,673.50","-"
"INVESTMENT","2024-05-16","74.58","74.88","73.92","74.39","-0.17 %","509,447,106.80","-"
"INVESTMENT","2024-05-15","75.05","75.9","74.42","74.52","-0.71 %","132,424,293.00","-"
"INVESTMENT","2024-05-14","74.23","75.29","74.02","75.05","1.10 %","236,330,946.50","-"
"INVESTMENT","2024-05-13","72.88","74.3","72.52","74.23","2.05 %","367,100,394.00","-"
"INVESTMENT","2024-05-12","72.9","73.24","72.56","72.74","0.15 %","59,736,136.10","-"
"INVESTMENT","2024-05-09","72.57","72.94","72.42","72.63","0.23 %","57,706,622.70","-"
"INVESTMENT","2024-05-08","72.82","73.39","72.35","72.46","-0.49 %","67,316,641.20","-"
"INVESTMENT","2024-05-07","73.18","73.56","72.76","72.82","-0.49 %","61,992,273.30","-"
"INVESTMENT","2024-05-06","73.87","73.87","73.05","73.18","-0.61 %","71,703,237.20","-"
"INVESTMENT","2024-05-05","74.12","74.41","73.42","73.63","-1.34 %","77,926,979.20","-"
"INVESTMENT","2024-05-02","75.3","75.77","74.46","74.63","-0.20 %","83,954,886.60","-"
"INVESTMENT","2024-04-30","73.57","75.11","73.57","74.78","1.14 %","113,245,861.90","-"
"INVESTMENT","2024-04-29","74.23","74.71","73.81","73.94","-0.01 %","61,364,988.70","-"
"INVESTMENT","2024-04-28","73.89","74.33","73.47","73.95","0.45 %","67,149,177.30","-"
